0,v_0 (V):,v_1 (V):,v_2 (V):,v_3 (V):,v_4 (V):,v_5 (V):,v_6 (V):,i_0 (A):,i_1 (A):,i_2 (A):,i_3 (A):,i_4 (A):,i_5 (A):,i_6 (A):,tq_0 (Nm):,tq_1 (Nm):,tq_2 (Nm):,tq_3 (Nm):,tq_4 (Nm):,tq_5 (Nm):,tq_6 (Nm):,pos_0 (m or rad):,pos_1 (m or rad):,pos_2 (m or rad):,pos_3 (m or rad):,pos_4 (m or rad):,pos_5 (m or rad):,pos_6 (m or rad):,pos_ref_0 (m or rad):,pos_ref_1 (m or rad):,pos_ref_2 (m or rad):,pos_ref_3 (m or rad):,pos_ref_4 (m or rad):,pos_ref_5 (m or rad):,pos_ref_6 (m or rad):,vel_0 (m/s or rad/s):,vel_1 (m/s or rad/s):,vel_2 (m/s or rad/s):,vel_3 (m/s or rad/s):,vel_4 (m/s or rad/s):,vel_5 (m/s or rad/s):,vel_6 (m/s or rad/s):,vel_ref_0 (m/s or rad/s),vel_ref_1 (m/s or rad/s),vel_ref_2 (m/s or rad/s),vel_ref_3 (m/s or rad/s),vel_ref_4 (m/s or rad/s),vel_ref_5 (m/s or rad/s),vel_ref_6 (m/s or rad/s),
0,-0.000709063722719,0.010942292761,-2.7115792709,-0.940660195312,0.016203249991,0.0157498837248,0.0158056644114,-0.0473324949847,0.220171556932,-54.2508358137,-18.8131885143,0.324676596386,0.335364420963,0.314523477636,-0.0144760086665,0.066062514594,-16.2754111641,-5.64395642601,0.0974080755537,0.100779049176,0.0943437948692,0.0000175237692019,7.15255737305E-6,-0.0000652074231766,1.90734863281E-6,-2.30043269767E-6,-0.0000203357139981,-7.71904524299E-6,0,0,0,0,0,0,0,0.00504077691585,-0.000177483918378,-0.0027397274971,-8.73149838299E-6,8.33865487948E-6,0.000827185984235,-0.000033319927752,0,0,0,0,0,0,0,
0.04,-0.00100830389155,0.0101364318955,-2.71194918777,-0.940731767206,0.0161519423215,0.0158165622673,0.0158810377242,-0.0255935330113,0.202962330521,-54.3035008455,-18.8152402612,0.323499068095,0.32687198172,0.321739953835,-0.00772328869656,0.0608906465948,-16.2915878961,-5.64457711933,0.0970535556089,0.0981494339857,0.0965563128117,2.74181320492E-6,0.0000152587890625,-0.00001893514127,1.90734863281E-6,-8.22264667022E-7,-0.0000238524662564,-0.000013785432202,0,0,0,0,0,0,0,-0.00257524312474,-0.00224515865557,-0.0448476076126,0.0000531458063051,-0.000488325953484,0.00134309998248,0.000125945545733,0,0,0,0,0,0,0,
0.08,-0.000572224147102,0.00906392975925,-2.71219980801,-0.940703723632,0.0161504606349,0.0156908405408,0.0155588398744,-0.0287037282148,0.194098288609,-53.9477799853,-18.8146321898,0.323275134163,0.312208136401,0.310382379739,-0.00875494550837,0.0583363173612,-16.1792134749,-5.64439430459,0.0969847562612,0.0936490353001,0.0931080937737,-0.0000104904520413,0.0000472068786621,0.0000476837158203,4.29153442383E-6,-2.59450894191E-6,-0.0000154727767949,5.24520874023E-6,0,0,0,0,0,0,0,-0.000684524013195,0.000705704500433,0.00066334346775,-0.000682327256072,0.000117011833936,0.000282745924778,0.000141939148307,0,0,0,0,0,0,0,
0.12,-0.000721301243671,0.0105908390228,-2.71347558971,-0.94083971759,0.0161310978432,0.0157229583014,0.0156055171248,0.0108871746243,0.214638339484,-54.1239447346,-18.8174064101,0.322858736548,0.318873042711,0.311419788227,0.00347709571645,0.064415014837,-16.2359703616,-5.64522702353,0.0968595941284,0.0956986951189,0.0934201818491,-4.41078009317E-6,-0.0000834154780023,0.000023365020752,6.19888305664E-6,-2.24673181037E-6,-0.000016967416741,1.90734863281E-6,0,0,0,0,0,0,0,-0.00241413409822,0.000759445771109,0.00644046906382,0.0000521458568983,-0.000313294003718,0.0000358814722858,0.000103675760329,0,0,0,0,0,0,0,
0.16,-0.000430895013342,0.011882200252,-2.71301858898,-0.940823266708,0.0159977555068,0.0155810994788,0.0155758578535,0.00903611029352,0.23131080734,-54.170522531,-18.8163144673,0.319439557434,0.31389952956,0.31119585637,0.00285794984273,0.0693404655545,-16.2470979087,-5.64489308296,0.0958275709575,0.0941888383679,0.0933560794052,-5.84127474212E-6,-0.0000124961998154,0.000093936920166,8.58306884766E-6,4.76837158203E-6,-0.0000106384504761,9.53674316406E-7,0,0,0,0,0,0,0,0.000533831480425,0.000189372585737,0.0538309551775,-0.0000177852780325,-0.0000144671648741,0.000165438454133,5.55184669793E-7,0,0,0,0,0,0,0,
0.2,-0.000551958141609,0.0113876251771,-2.71318719859,-0.940816686355,0.0160245537551,0.0155130726032,0.0156588744227,0.00292581009225,0.217821151785,-54.3096887455,-18.8164211954,0.319390982093,0.318209013396,0.313560494455,0.000994117802046,0.0652635842707,-16.2924498704,-5.64492708752,0.0958081271861,0.0955289336965,0.0940713400533,-3.45709031535E-6,-9.69764369074E-6,0.0000901222229004,8.10623168945E-6,3.33786010742E-6,-5.88047760175E-6,-2.0537772798E-6,0,0,0,0,0,0,0,0.000293551711366,-0.00158467271831,0.00310724787414,-0.00046233923058,-0.0000747605226934,-0.0006555779255,-0.000811475329101,0,0,0,0,0,0,0,
0.24,-0.000453378207562,0.0092571469247,-2.71270950313,-0.940906236373,0.0161187322005,0.0153233846205,0.0157541064972,-0.0201063085077,0.185490760715,-54.3196221212,-18.8166252043,0.321590938858,0.299664721167,0.315120344437,-0.00612388208862,0.0556501267329,-16.2964319035,-5.64497506526,0.0964707507811,0.0898427249231,0.0945364217851,-1.49015966144E-6,-0.0000472161518701,0.0000400543212891,0.0000114440917969,1.90734863281E-6,9.53674316406E-7,-4.94949745189E-6,0,0,0,0,0,0,0,-0.00285354233347,0.00044690220966,-0.00695669464767,0.000551693490706,0.00240054586902,0.00328259589151,0.00156845361926,0,0,0,0,0,0,0,
0.28,-0.000623382773479,0.010174316777,-2.71246915358,-0.940978238784,0.0161939897457,0.015284472745,0.0157555373132,-0.0129469563107,0.211954578602,-54.2024334279,-18.8268957908,0.323935218851,0.309878080857,0.316182547382,-0.00388808106688,0.0636569422726,-16.2603387813,-5.64812982902,0.0971810275214,0.0929983294734,0.0948636958907,-6.31814282315E-6,0.0000615119934082,-7.95775940787E-6,0.0000162124633789,-4.53696884506E-6,1.90734863281E-6,-4.46344483862E-6,0,0,0,0,0,0,0,-0.00250570336357,0.000546524650417,0.0192292984575,0.000122255529277,0.0000474750995636,-0.00130447279662,0.000245284289122,0,0,0,0,0,0,0,
0.32,-0.000541873587686,0.0100011295212,-2.71116904495,-0.940955159866,0.0161380252643,0.0154069478277,0.0154435904601,0.00867352430859,0.199575445139,-53.8485023509,-18.8188392679,0.323003609815,0.309362940031,0.309135156027,0.00276464892643,0.059868907331,-16.1493857128,-5.64564958097,0.0969031088155,0.0928190818715,0.0927427413649,-3.8147095438E-6,9.53674316406E-6,-0.0000496180218761,0.0000162124633789,-2.41346151597E-6,-5.67909410165E-7,8.58306884766E-6,0,0,0,0,0,0,0,0.00292067578994,0.0000252926547546,0.0161185842007,0.000246494426392,0.0000163218937814,-0.000948311702814,0.0000763428397477,0,0,0,0,0,0,0,
0.36,-0.000625938835749,0.00856246413117,-2.71066312947,-0.940999982558,0.0160163947902,0.0153411451009,0.0155650408843,0.00757224564981,0.162510057523,-54.4955065713,-18.8200888612,0.321652610896,0.307272676514,0.310987665592,0.00243909888132,0.048680190381,-16.3510040046,-5.64602740176,0.0965068225613,0.0921855510749,0.093293690077,4.70874601888E-6,0.0000395774841309,-0.000117786788906,0.0000138282775879,2.38418579102E-6,9.53674316406E-7,4.29153442383E-6,0,0,0,0,0,0,0,-0.00892177317291,0.00102465599775,-0.012418763712,0.000113430665806,-0.000593075528741,-0.00069963990245,0.0000915655400604,0,0,0,0,0,0,0,
